text,label
sad apl friend,0
missed new moon trailer,0
omg already 7 30,0
omgaga I sooo I gunna cry I dentist since 11 suposed 2 get crown put 30mins,0
think mi bf cheating,0
worry much,0
juuuuuuuuuuuuuuuuussssst chillin,0
sunny work tomorrow tv tonight,0
handed uniform today miss already,0
hmmmm wonder number,0
must think positive,0
thanks haters face day 112 102,0
weekend sucked far,0
jb showing australia,0
ok win,0
way feel right,0
awhhe man I completely useless rt funny twitter http myloc 27hx,0
feeling strangely fine I gon na go listen semisonic celebrate,0
huge roll thunder scary,0
cut beard growing well year I gon na start happy meantI ame,0
sad iran,0
wompppp wompp,0
one see one else following bebecause pretty awesome,0
sad level 3 writing massive blog tweet myspace comp shut lost lays fetal position,0
headed hospitol pull golf tourny 3rd place think ripped something yeah,0
boring wrong hI please tell,0
bothered wish could spend rest life sat going gigs seriously,0
feeeling like shit right really want sleep nooo 3 hours dancing art assignment finish,0
goodbye exams hello alcohol tonight,0
realize deep geez give girl warning atleast,0
hate athlete appears tear acl live television,0
miss guys think I wearing skinny jeans cute sweater heels really sure today,0
meet meat http bit ly 15ssci,0
horsie moving saturday morning,0
sat need work 6 days week,0
really like room boring sick wardrobe waiit till walk one yay,0
sox floyd great relievers need scolding,0
tI ames like million,0
uploading pictures friendster,0
type spaz downloads virus brother msn fucked forever,0
fightiin wiit babes,0
wrote something last week got call someone new york office http tumblr com xcn21w6o7,0
enough saI would,0
need even say well go anyways chris cornell chicago tonight,0
health class joke,0
3 go show tonight,0
galaxy really makes sad look muslI ams reality,0
tI ame low shall motivation rest week,0
entertainment someone complained properly experI amental say experI ament melody,0
another year lakers neither magic fun,0
baddest day eveer,0
bathroom clean enjoyable tasks,0
boom boom pow,0
I proud,0
congrats helio though,0
davI would must hospitalized five days end july palatine tonsils probably never see katie concert,0
friends leaving stupI would love http bit ly zoxzc,0
go give ur mom hug right http bit ly azfwv,0
going see harry sunday happiness,0
hand quilting,0
hate u leysh t9ar5,0
always get want,0
bend backwards,0
get work sooooon miss cody booo seen hI foreverr,0
hate allergies get hair cut tomorrow I taking public poll,0
love guys much hurts http tumblr com xkh1z19us,0
miss earl,0
miss new jersey,0
missed first hour sytycd last night find online,0
need u2 fix,0
never thought I would become second choice,0
think may friendly lol well,0
think manuel basil plant days live,0
wan na home church wonder wht,0
wan na make pizza,0
